accommodates,bathrooms,bedrooms,review_scores_checkin,review_scores_communication,latitude,longitude,property_type_0,property_type_1,property_type_2,property_type_3,property_type_4,property_type_5,room_type_0,room_type_1,room_type_2,bed_type_0,bed_type_1,bed_type_2,bed_type_3,bed_type_4,beds,review_scores_value,host_listing_count,review_scores_cleanliness,review_scores_accuracy,minimum_nights,price
2,1.0,1.0,10.0,10.0,40.80361525,-73.94079242,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,1,9.0,9.0,3,150
2,1.0,1.0,9.0,10.0,40.73400013,-73.99449085,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,1,9.0,9.0,5,299
2,1.0,0.0,10.0,10.0,40.72345022,-74.00325733,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,1,10.0,10.0,1,195
3,1.0,1.0,10.0,10.0,40.71117318,-74.00667598,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,1,10.0,10.0,2,365
2,1.0,1.0,10.0,10.0,40.76543852,-73.99463794,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,2,9.0,9.0,1,105
5,1.0,1.0,10.0,10.0,40.73021049,-73.98145037,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,10,9.0,10.0,1,225
4,1.0,1.0,10.0,10.0,40.82490946,-73.95137108,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,9.0,9.0,2,90
2,1.0,0.0,10.0,10.0,40.74009883,-73.97914504,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,1,9.0,9.0,1,150
4,1.0,1.0,10.0,10.0,40.80117641,-73.95450999,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,1,10.0,10.0,2,125
2,1.0,1.0,10.0,10.0,40.81094295,-73.95097066,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,1,9.0,10.0,2,109
