id,host_since,zipcode,latitude,longitude,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_listing_count,price,property_type_0,property_type_1,property_type_2,property_type_3,property_type_4,property_type_5,room_type_0,room_type_1,room_type_2,bed_type_0,bed_type_1,bed_type_2,bed_type_3,bed_type_4
3574160,1775,10128.0,40.77968507,-73.9533856,4,1.0,2.0,2.0,1,1,1125,25,55,85,360,4,2427.0,2533.0,95.0,10.0,10.0,10.0,10.0,10.0,10.0,4,250,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
783964,1592,11101.0,40.75619433,-73.93004987,2,1.0,1.0,1.0,1,2,300,26,56,86,361,33,1871.0,2526.0,92.0,9.0,9.0,9.0,10.0,9.0,9.0,3,66,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2769628,1707,10031.0,40.82322106,-73.95576409,2,1.0,1.0,1.0,1,4,27,14,29,53,328,19,2313.0,2508.0,88.0,9.0,9.0,9.0,9.0,9.0,9.0,3,70,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2568017,2098,11221.0,40.69227781,-73.93093563,2,1.0,1.0,1.0,1,1,1125,22,52,82,357,10,2281.0,2488.0,80.0,10.0,8.0,8.0,9.0,9.0,9.0,12,35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
3595080,1474,10014.0,40.73636309,-74.00194059,2,1.0,1.0,1.0,1,3,365,30,60,90,365,3,2443.0,2511.0,93.0,9.0,8.0,9.0,10.0,10.0,9.0,1,125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
995373,1899,10028.0,40.77322447,-73.95091014,5,1.0,1.0,1.0,4,3,120,28,58,87,87,37,1932.0,2506.0,93.0,10.0,9.0,10.0,9.0,9.0,9.0,1,199,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3593884,1698,11206.0,40.7076077,-73.94266309,6,1.0,2.0,2.0,1,3,10,0,0,0,0,2,2526.0,2552.0,100.0,10.0,8.0,10.0,10.0,8.0,10.0,2,140,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4329251,2477,11211.0,40.71332286,-73.93629172,4,1.0,0.0,2.0,2,3,20,0,2,32,122,2,2500.0,2547.0,100.0,10.0,10.0,10.0,8.0,9.0,10.0,1,149,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1906230,1976,11211.0,40.71317202,-73.93690763,5,1.5,1.0,2.0,2,7,30,0,0,0,1,3,2194.0,2267.0,99.0,10.0,10.0,10.0,10.0,9.0,10.0,1,275,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
857948,1812,10025.0,40.79456326,-73.96828413,1,1.0,1.0,1.0,0,2,30,30,60,90,365,1,2092.0,2092.0,94.0,10.0,8.0,10.0,8.0,10.0,10.0,1,150,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
