id,host_since,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,guests_included,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_listing_count,price
4831993,2540,11206,40.69863005,-73.9285374,0,1,2,2,1,1,0,1,1,1125,2,2,2,2,0,,,,,,,,,,1,200
2596813,2269,10025,40.79932214,-73.96767927,0,1,2,1,1,1,0,1,2,7,12,32,57,332,11,2287,2480,96,10,10,10,10,10,9,1,150
4810267,2110,10013,40.71812503,-73.99484809,0,1,3,2,1,1,0,1,1,1125,2,2,2,2,0,,,,,,,,,,1,300
312664,367,10030,40.81316065,-73.94902419,0,0,10,1,3,5,0,3,1,1125,3,33,63,324,33,1570,2526,88,9,8,9,9,7,8,10,255
4358437,2480,10035,40.80361525,-73.94079242,0,1,2,1,1,2,0,1,3,1125,30,60,90,365,0,,,,,,,,,,1,150
26229,717,10003,40.73400013,-73.99449085,0,0,2,1,1,2,0,2,5,180,29,59,78,353,37,865,2511,92,9,9,9,10,10,9,1,299
2993952,1636,10013,40.72345022,-74.00325733,0,0,2,1,0,1,0,1,1,1125,0,0,0,213,1,2370,2370,100,10,10,10,10,10,10,1,195
3414741,2165,10038,40.71117318,-74.00667598,0,0,3,1,1,1,0,1,2,1125,30,60,90,347,1,2447,2447,100,10,10,10,10,10,10,1,365
4796066,2413,10019,40.76543852,-73.99463794,0,1,2,1,1,1,0,1,1,1125,1,1,1,1,1,2554,2554,,,,,,,,2,105
1006877,750,10009,40.73021049,-73.98145037,0,0,5,1,1,2,0,2,1,30,29,59,89,364,13,1964,2493,95,10,9,10,10,10,9,10,225
798391,1699,10031,40.82490946,-73.95137108,0,1,4,1,1,1,0,2,2,14,0,5,5,220,2,2190,2195,91,9,9,10,10,8,9,1,90
4594464,2511,10016,40.74009883,-73.97914504,0,0,2,1,0,1,4,1,1,1125,3,7,8,283,0,,,,,,,,,,1,150
3235070,2296,10026,40.80117641,-73.95450999,0,0,4,1,1,2,0,1,2,1125,0,0,0,6,3,2479,2525,100,10,10,10,10,9,9,1,125
2677222,2280,10027,40.81094295,-73.95097066,0,1,2,1,1,1,1,1,2,28,30,60,90,365,20,2309,2537,93,10,9,10,10,8,8,1,109
2309222,2221,10011,40.74139958,-73.99747325,0,0,4,1,2,2,0,1,1,1125,0,6,36,311,0,,,,,,,,,,1,400
244481,1043,10005,40.70654355,-74.00878387,0,1,2,1,1,1,0,1,3,20,30,60,90,365,1,1406,1406,,,,,,,,1,99
2407196,1929,10030,40.81904473,-73.94325286,1,1,2,1,1,1,0,1,2,1125,0,0,15,270,27,2288,2498,97,10,10,10,10,9,10,1,89
4713297,2526,10012,40.72633595,-73.99377219,0,0,4,1,2,2,0,1,1,1125,25,55,85,360,0,,,,,,,,,,1,250
4849849,2516,11102,40.77245498,-73.91922627,0,1,3,1,1,1,0,1,2,7,29,59,89,89,0,,,,,,,,,,1,80
4846095,2484,11206,40.69928064,-73.92903403,0,1,1,1,1,1,0,1,5,1125,2,2,2,2,0,,,,,,,,,,1,65
4879165,2547,10009,40.72371544,-73.98378124,0,0,2,1,1,1,0,1,1,1125,14,44,74,349,0,,,,,,,,,,1,100
3574160,1775,10128,40.77968507,-73.9533856,0,0,4,1,2,2,0,1,1,1125,25,55,85,360,4,2427,2533,95,10,10,10,10,10,10,4,250
783964,1592,11101,40.75619433,-73.93004987,1,1,2,1,1,1,0,1,2,300,26,56,86,361,33,1871,2526,92,9,9,9,10,9,9,3,66
